,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price
146,ICICIBANK,01/11/2021,30/12/2021,CE,660,0,0,0,86.3,0,156.8,0,0,0,0,0,-,810.7
147,ICICIBANK,01/11/2021,30/12/2021,CE,670,0,0,0,80.65,0,148.45,0,0,0,0,0,-,810.7
148,ICICIBANK,01/11/2021,30/12/2021,CE,680,0,0,0,75.3,0,140.35,0,0,0,0,0,-,810.7
149,ICICIBANK,01/11/2021,30/12/2021,CE,560,0,0,0,156.55,0,248.4,0,0,0,0,0,-,810.7
150,ICICIBANK,01/11/2021,30/12/2021,CE,570,0,0,0,148.45,0,238.8,0,0,0,0,0,-,810.7
151,ICICIBANK,01/11/2021,30/12/2021,CE,580,0,0,0,140.6,0,229.2,0,0,0,0,0,-,810.7
152,ICICIBANK,01/11/2021,30/12/2021,CE,590,0,0,0,132.95,0,219.75,0,0,0,0,0,-,810.7
153,ICICIBANK,01/11/2021,30/12/2021,CE,600,0,0,0,125.55,0,210.35,0,0,0,0,0,-,810.7
154,ICICIBANK,01/11/2021,30/12/2021,CE,610,0,0,0,118.35,0,201.05,0,0,0,0,0,-,810.7
155,ICICIBANK,01/11/2021,30/12/2021,CE,620,0,0,0,111.4,0,191.9,0,0,0,0,0,-,810.7
156,ICICIBANK,01/11/2021,30/12/2021,CE,500,0,0,0,208.95,0,307.2,0,0,0,0,0,-,810.7
157,ICICIBANK,01/11/2021,30/12/2021,CE,510,0,0,0,199.8,0,297.35,0,0,0,0,0,-,810.7
158,ICICIBANK,01/11/2021,30/12/2021,CE,520,0,0,0,190.85,0,287.5,0,0,0,0,0,-,810.7
159,ICICIBANK,01/11/2021,30/12/2021,CE,530,0,0,0,182,0,277.65,0,0,0,0,0,-,810.7
160,ICICIBANK,01/11/2021,30/12/2021,CE,540,0,0,0,173.35,0,267.85,0,0,0,0,0,-,810.7
161,ICICIBANK,01/11/2021,30/12/2021,CE,550,0,0,0,164.85,0,258.1,0,0,0,0,0,-,810.7
162,ICICIBANK,01/11/2021,30/12/2021,CE,440,0,0,0,265.8,0,366.7,0,0,0,0,0,-,810.7
163,ICICIBANK,01/11/2021,30/12/2021,CE,450,0,0,0,256.1,0,356.8,0,0,0,0,0,-,810.7
164,ICICIBANK,01/11/2021,30/12/2021,CE,460,0,0,0,246.5,0,346.85,0,0,0,0,0,-,810.7
165,ICICIBANK,01/11/2021,30/12/2021,CE,470,0,0,0,236.95,0,336.95,0,0,0,0,0,-,810.7
166,ICICIBANK,01/11/2021,30/12/2021,CE,480,0,0,0,227.5,0,327,0,0,0,0,0,-,810.7
167,ICICIBANK,01/11/2021,30/12/2021,CE,960,0,0,0,7,0,14.8,0,0,0,0,0,-,810.7
168,ICICIBANK,01/11/2021,30/12/2021,PE,870,0,0,0,177.15,0,95.5,0,0,0,0,0,-,810.7
169,ICICIBANK,01/11/2021,30/12/2021,PE,880,0,0,0,185.65,0,102.45,0,0,0,0,0,-,810.7
170,ICICIBANK,01/11/2021,30/12/2021,PE,890,0,0,0,194.25,0,109.6,0,0,0,0,0,-,810.7
171,ICICIBANK,01/11/2021,30/12/2021,PE,900,0,0,0,202.95,0,117,0,0,0,0,0,-,810.7
172,ICICIBANK,01/11/2021,30/12/2021,PE,910,0,0,0,211.75,0,124.6,0,0,0,0,0,-,810.7
173,ICICIBANK,01/11/2021,30/12/2021,PE,920,0,0,0,220.65,0,132.35,0,0,0,0,0,-,810.7
174,ICICIBANK,01/11/2021,30/12/2021,PE,930,0,0,0,229.6,0,140.2,0,0,0,0,0,-,810.7
175,ICICIBANK,01/11/2021,30/12/2021,PE,940,0,0,0,238.65,0,148.3,0,0,0,0,0,-,810.7
176,ICICIBANK,01/11/2021,30/12/2021,PE,950,0,0,0,247.8,0,156.55,0,0,0,0,0,-,810.7
177,ICICIBANK,01/11/2021,30/12/2021,PE,960,0,0,0,257,0,164.9,0,0,0,0,0,-,810.7
178,ICICIBANK,01/11/2021,30/12/2021,PE,970,0,0,0,266.25,0,173.4,0,0,0,0,0,-,810.7
179,ICICIBANK,01/11/2021,30/12/2021,PE,980,0,0,0,275.55,0,182.05,0,0,0,0,0,-,810.7
180,ICICIBANK,01/11/2021,30/12/2021,PE,990,0,0,0,284.9,0,190.75,0,0,0,0,0,-,810.7
181,ICICIBANK,01/11/2021,30/12/2021,PE,660,0,0,0,39.1,0,8.75,0,0,0,0,0,-,810.7
