Date,Expiry,Strike Price,best_bid,best_offer,Close,futures_price,Option Type,time_diff,
1/11/21,30/12/21,590,273.2,276.5,274.85,851.6630976,CE,1.38,
1/11/21,30/12/21,600,264.8,268,266.4,851.6630976,CE,1.38,
1/11/21,30/12/21,610,256.6,259.8,258.2,851.6630976,CE,1.38,
1/11/21,30/12/21,620,248.6,251.6,250.1,851.6630976,CE,1.38,
1/11/21,30/12/21,630,240.4,243.6,242,851.6630976,CE,1.38,
1/11/21,30/12/21,640,232.8,235.7,234.25,851.6630976,CE,1.38,
1/11/21,30/12/21,650,224.9,228,226.45,851.6630976,CE,1.38,
1/11/21,30/12/21,660,217.2,220.3,218.75,851.6630976,CE,1.38,
1/11/21,30/12/21,670,209.9,212.7,211.3,851.6630976,CE,1.38,
1/11/21,30/12/21,680,202.3,205.4,203.85,851.6630976,CE,1.38,
1/11/21,30/12/21,690,195.1,198.1,196.6,851.6630976,CE,1.38,
1/11/21,30/12/21,700,188.1,191,189.55,851.6630976,CE,1.38,
1/11/21,30/12/21,710,181.1,184.1,182.6,851.6630976,CE,1.38,
1/11/21,30/12/21,720,174.2,177.3,175.75,851.6630976,CE,1.38,
1/11/21,30/12/21,730,167.6,170.6,169.1,851.6630976,CE,1.38,
1/11/21,30/12/21,735,164.4,167.4,165.9,851.6630976,CE,1.38,
1/11/21,30/12/21,740,161.1,164.1,162.6,851.6630976,CE,1.38,
1/11/21,30/12/21,745,157.9,160.9,159.4,851.6630976,CE,1.38,
1/11/21,30/12/21,750,154.8,157.8,156.3,851.6630976,CE,1.38,
1/11/21,30/12/21,755,151.6,154.6,153.1,851.6630976,CE,1.38,
1/11/21,30/12/21,760,148.6,151.6,150.1,851.6630976,CE,1.38,
1/11/21,30/12/21,765,145.5,148.5,147,851.6630976,CE,1.38,
1/11/21,30/12/21,770,142.6,145.5,144.05,851.6630976,CE,1.38,
1/11/21,30/12/21,775,139.5,142.5,141,851.6630976,CE,1.38,
1/11/21,30/12/21,780,137,139.6,138.3,851.6630976,CE,1.38,
1/11/21,30/12/21,785,133.7,136.7,135.2,851.6630976,CE,1.38,
1/11/21,30/12/21,790,131.3,133.8,132.55,851.6630976,CE,1.38,
1/11/21,30/12/21,795,128.5,131,129.75,851.6630976,CE,1.38,
1/11/21,30/12/21,800,125.3,128.3,126.8,851.6630976,CE,1.38,
1/11/21,30/12/21,805,123,125.5,124.25,851.6630976,CE,1.38,
1/11/21,30/12/21,810,120,122.8,121.4,851.6630976,CE,1.38,
1/11/21,30/12/21,815,117.2,120.4,118.8,851.6630976,CE,1.38,
1/11/21,30/12/21,820,114.7,117.6,116.15,851.6630976,CE,1.38,
1/11/21,30/12/21,825,112.4,115,113.7,851.6630976,CE,1.38,
1/11/21,30/12/21,830,109.7,112.5,111.1,851.6630976,CE,1.38,
1/11/21,30/12/21,835,107.3,110,108.65,851.6630976,CE,1.38,
1/11/21,30/12/21,840,104.8,107.6,106.2,851.6630976,CE,1.38,
1/11/21,30/12/21,845,102.4,105.2,103.8,851.6630976,CE,1.38,
1/11/21,30/12/21,850,100,102.8,101.4,851.6630976,CE,1.38,
1/11/21,30/12/21,855,97.7,100.5,99.1,851.6630976,CE,1.38,
1/11/21,30/12/21,860,96.1,97.9,97,851.6630976,CE,1.38,
1/11/21,30/12/21,865,93.7,95.9,94.8,851.6630976,CE,1.38,
1/11/21,30/12/21,870,90.9,93.5,92.2,851.6630976,CE,1.38,
1/11/21,30/12/21,875,88.7,91.7,90.2,851.6630976,CE,1.38,
