Date,Open,High,Low,Close,Adj Close,Volume,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell,Position,Realised_PNL,MTM,AvgPrc
2018-05-16,271.140015,272.76001,271.109985,272.23999,255.920883,53942600,267.8010039,266.0886688666667,1.0,1.0,265.67800588,-0.0,-20.0,-2516.1997080000024,-1524.4297739999997,196.0185013
2018-05-17,271.940002,273.230011,271.130005,272.01001,255.704697,56536400,268.4130034,266.4330027666667,1.0,1.0,266.7951902,-0.0,-20.0,-2516.1997080000024,-1519.8301740000002,196.0185013
2018-05-18,271.619995,272.029999,270.929993,271.329987,255.065399,64368000,269.31700119999994,266.7223358333333,1.0,1.0,266.56980980000003,-0.0,-20.0,-2516.1997080000024,-1506.2297140000005,196.0185013
2018-05-21,273.01001,273.980011,272.570007,273.369995,256.983154,58025900,270.2560027,266.934669,1.0,1.0,265.90338726,-0.0,-20.0,-2516.1997080000024,-1547.0298740000003,196.0185013
2018-05-22,273.959991,274.25,272.23999,272.609985,256.268707,52966400,270.7870025,267.32166853333337,1.0,1.0,267.9025951,-0.0,-20.0,-2516.1997080000024,-1531.829674,196.0185013
2018-05-23,271.170013,273.390015,270.98999,273.359985,256.973755,64694200,271.4320007,267.7340017,1.0,1.0,267.1577853,-0.0,-20.0,-2516.1997080000024,-1546.829674,196.0185013
2018-05-24,272.910004,273.220001,270.779999,272.799988,256.447296,76043800,272.0009979,267.9826680666667,1.0,1.0,267.8927853,-0.0,-20.0,-2516.1997080000024,-1535.6297339999996,196.0185013
2018-05-25,272.149994,272.859985,271.579987,272.149994,255.836288,56374800,272.3869964,268.30266723333335,1.0,1.0,267.34398824,-0.0,-20.0,-2516.1997080000024,-1522.6298539999993,196.0185013
2018-05-29,270.309998,271.170013,267.76001,269.019989,252.89389,115908600,272.46499630000005,268.53166706666667,1.0,1.0,266.70699412,-0.0,-20.0,-2516.1997080000024,-1460.0297539999997,196.0185013
2018-05-30,270.5,273.109985,270.420013,272.609985,256.268707,69678400,272.3949951,268.76500039999996,1.0,1.0,263.63958922,-0.0,-20.0,-2516.1997080000024,-1531.829674,196.0185013
