,date,Open,High,Low,Close
586,2024-05-22,1428.75,1459.95,1428.0,1454.8
587,2024-05-23,1454.7,1478.15,1450.0,1472.4
588,2024-05-24,1468.25,1475.5,1460.0,1465.1
589,2024-05-27,1471.85,1479.6,1460.25,1471.35
590,2024-05-28,1475.5,1476.0,1460.3,1467.05
591,2024-05-29,1465.4,1465.5,1450.0,1450.95
592,2024-05-30,1442.8,1449.85,1421.55,1427.45
593,2024-05-31,1409.8,1436.75,1400.0,1406.9
594,2024-06-03,1440.0,1440.0,1404.0,1405.9
595,2024-06-04,1409.0,1415.0,1358.35,1393.65
596,2024-06-05,1400.15,1438.0,1400.15,1430.1
597,2024-06-06,1444.95,1474.3,1437.5,1472.25
598,2024-06-07,1481.0,1539.7,1477.25,1533.6
599,2024-06-10,1525.3,1529.8,1497.3,1499.75
600,2024-06-11,1500.05,1506.45,1493.95,1495.75
601,2024-06-12,1507.0,1508.75,1482.75,1485.2
602,2024-06-13,1495.0,1505.0,1489.35,1493.95
603,2024-06-14,1503.7,1503.7,1486.05,1488.9
604,2024-06-18,1497.0,1507.0,1495.4,1498.2
605,2024-06-19,1505.0,1515.65,1496.7,1511.35
606,2024-06-20,1516.3,1517.5,1499.1,1515.4
607,2024-06-21,1545.0,1557.75,1523.7,1532.7
608,2024-06-24,1524.55,1529.1,1515.4,1527.15
609,2024-06-25,1526.0,1543.9,1520.35,1541.95
610,2024-06-26,1541.0,1548.85,1535.0,1540.7
611,2024-06-27,1538.45,1578.4,1532.05,1573.35
612,2024-06-28,1572.55,1588.5,1564.25,1566.75
613,2024-07-01,1559.5,1599.9,1559.5,1590.8
614,2024-07-02,1596.2,1633.8,1586.5,1621.05
615,2024-07-03,1625.0,1636.0,1606.0,1627.4
616,2024-07-04,1628.2,1660.0,1628.0,1650.65
617,2024-07-05,1651.45,1665.85,1633.35,1647.45
618,2024-07-08,1643.1,1666.0,1640.0,1661.65
619,2024-07-09,1659.9,1666.75,1651.0,1657.15
620,2024-07-10,1657.0,1674.0,1637.55,1648.25
621,2024-07-11,1656.0,1665.0,1642.05,1652.7
622,2024-07-12,1680.0,1719.75,1666.65,1711.75
623,2024-07-15,1726.2,1728.0,1702.65,1707.05
624,2024-07-16,1718.6,1737.9,1700.0,1726.05
625,2024-07-18,1719.0,1765.4,1719.0,1758.05
626,2024-07-19,1844.0,1844.0,1786.45,1792.95
627,2024-07-22,1800.15,1823.0,1792.95,1810.85
628,2024-07-23,1810.0,1839.95,1783.25,1836.9
629,2024-07-24,1837.5,1842.35,1819.6,1833.95
630,2024-07-25,1820.0,1830.9,1812.0,1824.85
631,2024-07-26,1825.35,1883.0,1825.35,1878.9
632,2024-07-29,1893.6,1903.0,1864.0,1871.1
633,2024-07-30,1871.1,1879.95,1860.0,1877.15
634,2024-07-31,1877.0,1885.15,1865.05,1868.25
635,2024-08-01,1856.1,1867.9,1845.1,1852.6
636,2024-08-02,1843.0,1859.5,1816.15,1821.2
637,2024-08-05,1784.95,1797.5,1718.55,1751.9
638,2024-08-06,1760.2,1796.95,1744.85,1751.1
