,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,Future_Prices
3452,NIFTY,OPTIDX,2021-12-30,15600.0,PE,30.05,51.7,30.05,37.2,37.2,984,7696.32,34100,1900,01-DEC-2021,17221.9
3453,NIFTY,OPTIDX,2021-12-30,15650.0,PE,52.35,55.4,41.75,43.95,27.4,26,204.06,1800,150,01-DEC-2021,17221.9
3454,NIFTY,OPTIDX,2021-12-30,15700.0,PE,64.95,64.95,40.45,41.05,41.05,2030,15984.68,38900,16450,01-DEC-2021,17221.9
3455,NIFTY,OPTIDX,2021-12-30,15750.0,PE,47.45,52.0,45.0,45.25,34.65,32,252.77,1850,100,01-DEC-2021,17221.9
3456,NIFTY,OPTIDX,2021-12-30,15800.0,PE,64.9,64.9,45.6,46.55,46.55,2600,20610.3,77200,400,01-DEC-2021,17221.9
3457,NIFTY,OPTIDX,2021-12-30,15850.0,PE,53.95,65.45,53.6,53.6,43.45,24,190.9,350,200,01-DEC-2021,17221.9
3458,NIFTY,OPTIDX,2021-12-30,15900.0,PE,64.75,69.65,51.2,52.45,52.45,3163,25242.79,266000,16900,01-DEC-2021,17221.9
3459,NIFTY,OPTIDX,2021-12-30,15950.0,PE,55.85,72.5,54.6,56.2,56.2,793,6350.23,18550,8650,01-DEC-2021,17221.9
3460,NIFTY,OPTIDX,2021-12-30,16000.0,PE,84.0,84.0,57.65,59.6,59.6,30928,248485.19,3166250,25250,01-DEC-2021,17221.9
3461,NIFTY,OPTIDX,2021-12-30,16050.0,PE,72.3,80.95,60.95,64.55,64.55,604,4868.86,7000,-1350,01-DEC-2021,17221.9
3462,NIFTY,OPTIDX,2021-12-30,16100.0,PE,69.05,86.85,64.65,67.55,67.55,4025,32556.41,211300,22450,01-DEC-2021,17221.9
3463,NIFTY,OPTIDX,2021-12-30,16150.0,PE,78.1,93.8,68.95,72.0,72.0,478,3879.39,17100,1200,01-DEC-2021,17221.9
3464,NIFTY,OPTIDX,2021-12-30,16200.0,PE,100.0,101.95,73.25,76.4,76.4,14302,116459.07,615900,109900,01-DEC-2021,17221.9
3465,NIFTY,OPTIDX,2021-12-30,16250.0,PE,117.8,117.8,78.15,80.8,80.8,494,4036.44,28150,4600,01-DEC-2021,17221.9
3466,NIFTY,OPTIDX,2021-12-30,16300.0,PE,120.0,121.0,83.4,86.45,86.45,8072,66179.14,526850,61750,01-DEC-2021,17221.9
3467,NIFTY,OPTIDX,2021-12-30,16350.0,PE,100.05,121.15,89.4,93.9,93.9,656,5396.87,23800,5400,01-DEC-2021,17221.9
