,Realised_PNL
1970-01-01 00:00:00.000000347,2489.999999999851
1970-01-01 00:00:00.000000348,2489.999999999851
1970-01-01 00:00:00.000000349,3179.999999999837
1970-01-01 00:00:00.000000350,2024.9999999997963
1970-01-01 00:00:00.000000351,2024.9999999997963
1970-01-01 00:00:00.000000352,2024.9999999997963
1970-01-01 00:00:00.000000353,2024.9999999997963
1970-01-01 00:00:00.000000354,2024.9999999997963
1970-01-01 00:00:00.000000355,2024.9999999997963
1970-01-01 00:00:00.000000356,2024.9999999997963
1970-01-01 00:00:00.000000357,2024.9999999997963
1970-01-01 00:00:00.000000358,2024.9999999997963
1970-01-01 00:00:00.000000359,2024.9999999997963
1970-01-01 00:00:00.000000360,2024.9999999997963
1970-01-01 00:00:00.000000361,2024.9999999997963
1970-01-01 00:00:00.000000362,2024.9999999997963
1970-01-01 00:00:00.000000363,2024.9999999997963
1970-01-01 00:00:00.000000364,2024.9999999997963
1970-01-01 00:00:00.000000365,2024.9999999997963
1970-01-01 00:00:00.000000366,2024.9999999997963
1970-01-01 00:00:00.000000367,2024.9999999997963
1970-01-01 00:00:00.000000368,2024.9999999997963
1970-01-01 00:00:00.000000369,2024.9999999997963
1970-01-01 00:00:00.000000370,2024.9999999997963
1970-01-01 00:00:00.000000371,2024.9999999997963
1970-01-01 00:00:00.000000372,2024.9999999997963
1970-01-01 00:00:00.000000373,2024.9999999997963
1970-01-01 00:00:00.000000374,3779.999999999837
1970-01-01 00:00:00.000000375,3104.999999999837
1970-01-01 00:00:00.000000376,3104.999999999837
1970-01-01 00:00:00.000000377,3104.999999999837
1970-01-01 00:00:00.000000378,3104.999999999837
1970-01-01 00:00:00.000000379,3104.999999999837
1970-01-01 00:00:00.000000380,3104.999999999837
1970-01-01 00:00:00.000000381,3104.999999999837
1970-01-01 00:00:00.000000382,2429.999999999837
1970-01-01 00:00:00.000000383,2429.999999999837
1970-01-01 00:00:00.000000384,2429.999999999837
1970-01-01 00:00:00.000000385,2429.999999999837
1970-01-01 00:00:00.000000386,2429.999999999837
1970-01-01 00:00:00.000000387,2429.999999999837
1970-01-01 00:00:00.000000388,1769.9999999998918
1970-01-01 00:00:00.000000389,1769.9999999998918
1970-01-01 00:00:00.000000390,1769.9999999998918
1970-01-01 00:00:00.000000391,1769.9999999998918
1970-01-01 00:00:00.000000392,1769.9999999998918
1970-01-01 00:00:00.000000393,1769.9999999998918
1970-01-01 00:00:00.000000394,1814.999999999919
1970-01-01 00:00:00.000000395,1814.999999999919
1970-01-01 00:00:00.000000396,1814.999999999919
1970-01-01 00:00:00.000000397,1814.999999999919
1970-01-01 00:00:00.000000398,1124.9999999999327
1970-01-01 00:00:00.000000399,1124.9999999999327
1970-01-01 00:00:00.000000400,1124.9999999999327
1970-01-01 00:00:00.000000401,1124.9999999999327
1970-01-01 00:00:00.000000402,1124.9999999999327
1970-01-01 00:00:00.000000403,959.9999999999463
1970-01-01 00:00:00.000000404,959.9999999999463
1970-01-01 00:00:00.000000405,959.9999999999463
1970-01-01 00:00:00.000000406,-390.00000000005366
1970-01-01 00:00:00.000000407,-390.00000000005366
1970-01-01 00:00:00.000000408,-390.00000000005366
1970-01-01 00:00:00.000000409,-390.00000000005366
1970-01-01 00:00:00.000000410,-390.00000000005366
1970-01-01 00:00:00.000000411,-390.00000000005366
1970-01-01 00:00:00.000000412,-390.00000000005366
1970-01-01 00:00:00.000000413,59.99999999994634
1970-01-01 00:00:00.000000414,-585.000000000081
1970-01-01 00:00:00.000000415,-585.000000000081
1970-01-01 00:00:00.000000416,-585.000000000081
1970-01-01 00:00:00.000000417,-585.000000000081
1970-01-01 00:00:00.000000418,-585.000000000081
1970-01-01 00:00:00.000000419,-585.000000000081
1970-01-01 00:00:00.000000420,-585.000000000081
1970-01-01 00:00:00.000000421,-585.000000000081
1970-01-01 00:00:00.000000422,-1530.00000000004
1970-01-01 00:00:00.000000423,-1530.00000000004
1970-01-01 00:00:00.000000424,-2880.00000000004
1970-01-01 00:00:00.000000425,-2880.00000000004
1970-01-01 00:00:00.000000426,-4320.000000000095
1970-01-01 00:00:00.000000427,-4320.000000000095
1970-01-01 00:00:00.000000428,-4320.000000000095
1970-01-01 00:00:00.000000429,-6675.000000000067
1970-01-01 00:00:00.000000430,-6675.000000000067
1970-01-01 00:00:00.000000431,-7485.000000000013
1970-01-01 00:00:00.000000432,-7485.000000000013
1970-01-01 00:00:00.000000433,-7485.000000000013
