,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
1899,94349,SBIN,OPTSTK,2021-12-30,520.0,PE,0.0,0.0,0.0,81.05,36.75,0,0.0,0,0,2021-11-01,520.95,59.0,98.297119140625,-0.41987233536734786,-0.6819690574874374,0.00189851427002518,0.8186643666371638,22.55,-58.5
1898,94281,SBIN,OPTSTK,2021-12-30,520.0,CE,32.1,38.0,32.05,37.8,37.8,41,341.1,70500,24000,2021-11-01,520.95,59.0,44.7998046875,0.5399042133253897,-0.3156457589527452,0.004230371353767505,0.8313920075373976,26.9,-10.899999999999999
1901,94468,SBIN,OPTSTK,2022-01-27,525.0,PE,0.0,0.0,0.0,54.45,46.35,0,0.0,0,0,2021-11-01,522.8,87.0,52.42156982421875,-0.4555870390776455,-0.3048717523937429,0.0029631173053084915,1.0119438447645124,25.2,-29.250000000000004
1874,94143,SBIN,OPTSTK,2021-11-25,520.0,CE,24.95,25.4,20.5,24.95,24.95,7137,58154.75,6604500,720000,2021-11-01,518.9,24.0,48.004150390625,0.5176848526289755,-0.5303511092142009,0.006239667174343379,0.5303052555900095,26.9,1.9499999999999993
1878,94213,SBIN,OPTSTK,2021-11-25,520.0,PE,35.0,37.55,25.1,25.85,25.85,826,6808.79,1357500,480000,2021-11-01,518.9,24.0,47.637939453125,-0.4825549881391679,-0.5263191505612193,0.006287800515755763,0.5303193109726595,22.55,-3.3000000000000007
1900,94409,SBIN,OPTSTK,2022-01-27,525.0,CE,0.0,0.0,0.0,35.85,41.9,0,0.0,0,0,2021-11-01,522.8,87.0,36.24725341796875,0.5258147854681908,-0.21167725676762578,0.004303043066395597,1.0161278222340657,24.5,-11.350000000000001
167,96797,SBIN,OPTSTK,2021-12-30,525.0,PE,0.0,0.0,0.0,84.8,36.25,0,0.0,0,0,2021-11-02,526.0,58.0,102.783203125,-0.4170267475616688,-0.7250974351147661,0.0018109374291077234,0.8183370425907115,17.7,-67.1
158,96729,SBIN,OPTSTK,2021-12-30,525.0,CE,32.7,35.4,32.05,35.4,36.2,21,175.77,31500,31500,2021-11-02,526.0,58.0,41.748046875,0.5377013304741647,-0.299706692351057,0.004537070082086656,0.8327569530813558,23.25,-12.149999999999999
1508,96857,SBIN,OPTSTK,2022-01-27,530.0,CE,0.0,0.0,0.0,33.95,42.5,0,0.0,0,0,2021-11-02,528.4,86.0,33.94317626953125,0.5255269402026749,-0.20151594889815902,0.00457300532627666,1.0211402414215496,20.75,-13.200000000000003
1512,96916,SBIN,OPTSTK,2022-01-27,530.0,PE,0.0,0.0,0.0,57.5,46.0,0,0.0,0,0,2021-11-02,528.4,86.0,55.48095703125,-0.4508846956628678,-0.32755416299798995,0.0027822264675816796,1.0154712364446201,20.15,-37.35
1886,96661,SBIN,OPTSTK,2021-11-25,525.0,PE,26.4,31.45,24.3,25.2,25.2,705,5826.27,652500,205500,2021-11-02,523.9,23.0,46.875,-0.483644346510596,-0.5341881056491105,0.006466030003006274,0.5242165943436605,17.7,-7.5
1882,96591,SBIN,OPTSTK,2021-11-25,525.0,CE,23.2,26.35,21.35,24.5,24.5,2721,22418.15,1636500,456000,2021-11-02,523.9,23.0,47.7294921875,0.5169103444100008,-0.543894342729409,0.00634990133495923,0.5241861712516847,23.25,-1.25
1448,99247,SBIN,OPTSTK,2021-12-30,530.0,PE,0.0,0.0,0.0,88.65,35.8,0,0.0,0,0,2021-11-03,532.5,57.0,108.154296875,-0.41110219832007494,-0.7765953389411121,0.0017091920299315848,0.8185700540553468,17.95,-70.7
538,99366,SBIN,OPTSTK,2022-01-27,535.0,PE,0.0,0.0,0.0,60.65,45.65,0,0.0,0,0,2021-11-03,534.5,85.0,58.868408203125,-0.4448237831983791,-0.35291794602852206,0.002602175590244332,1.0191553102273943,20.65,-40.0
1903,99111,SBIN,OPTSTK,2021-11-25,530.0,PE,27.0,31.6,15.2,20.15,20.15,8746,72212.21,2247000,1228500,2021-11-03,530.3,22.0,39.1082763671875,-0.4785071777851755,-0.460979622288958,0.007823912458283238,0.5186396656880541,17.95,-2.1999999999999993
1444,99179,SBIN,OPTSTK,2021-12-30,530.0,CE,35.1,42.85,30.15,34.3,34.3,75,636.7,46500,42000,2021-11-03,532.5,57.0,39.4287109375,0.5430452504047986,-0.28866258495308056,0.004780232000568841,0.8346084338596361,19.1,-15.199999999999996
