,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
7971,BANKNIFTY,2021-11-24,2021-12-30,PE,37400,769.05,840.0,553.4,729.05,781.0,729.05,1450,13800.16,242.66,6875,-575,37441.95,37593.0,0.09863013698630137
7972,BANKNIFTY,2021-11-24,2021-12-30,PE,37500,853.65,898.5,589.0,768.35,826.5,768.35,12106,115595.0,2101.25,128950,32050,37441.95,37593.0,0.09863013698630137
7976,BANKNIFTY,2021-11-24,2021-12-30,PE,37000,640.0,676.95,425.45,576.55,616.0,576.55,11827,110900.18,1500.43,209550,-18925,37441.95,37593.0,0.09863013698630137
7977,BANKNIFTY,2021-11-24,2021-12-30,PE,37100,663.95,706.05,454.25,633.1,658.3,633.1,514,4841.56,74.21,6300,725,37441.95,37593.0,0.09863013698630137
7978,BANKNIFTY,2021-11-24,2021-12-30,PE,37200,697.95,753.0,487.2,645.75,691.6,645.75,373,3524.58,55.68,5600,725,37441.95,37593.0,0.09863013698630137
7979,BANKNIFTY,2021-11-24,2021-12-30,PE,37300,735.1,814.45,525.0,690.7,731.9,690.7,687,6515.14,108.86,5950,-275,37441.95,37593.0,0.09863013698630137
7980,BANKNIFTY,2021-11-24,2021-12-30,PE,36500,460.8,500.75,305.0,407.7,445.05,407.7,9204,84818.05,831.55,146250,22725,37441.95,37593.0,0.09863013698630137
7981,BANKNIFTY,2021-11-24,2021-12-30,PE,36600,479.0,525.0,328.95,442.6,468.25,442.6,263,2432.29,25.84,3000,-525,37441.95,37593.0,0.09863013698630137
7982,BANKNIFTY,2021-11-24,2021-12-30,PE,36700,521.6,561.95,353.35,456.45,500.5,456.45,213,1975.81,21.54,4350,600,37441.95,37593.0,0.09863013698630137
7983,BANKNIFTY,2021-11-24,2021-12-30,PE,36800,540.15,598.8,375.9,503.15,539.65,503.15,386,3594.05,42.85,7200,-625,37441.95,37593.0,0.09863013698630137
7984,BANKNIFTY,2021-11-24,2021-12-30,PE,36900,690.5,690.5,402.65,568.3,582.0,568.3,333,3112.75,40.83,3700,1275,37441.95,37593.0,0.09863013698630137
7985,BANKNIFTY,2021-11-24,2021-12-30,PE,36100,331.55,365.55,235.65,337.4,336.7,337.4,48,436.7,3.5,1200,125,37441.95,37593.0,0.09863013698630137
7986,BANKNIFTY,2021-11-24,2021-12-30,PE,36200,338.5,368.9,240.25,333.7,368.9,333.7,210,1915.18,14.68,2725,625,37441.95,37593.0,0.09863013698630137
7987,BANKNIFTY,2021-11-24,2021-12-30,PE,36300,388.8,388.8,267.0,355.9,355.2,355.9,85,778.25,6.87,1950,175,37441.95,37593.0,0.09863013698630137
7988,BANKNIFTY,2021-11-24,2021-12-30,PE,36400,414.9,427.0,290.0,389.65,424.25,389.65,140,1286.36,12.36,2575,275,37441.95,37593.0,0.09863013698630137
7989,BANKNIFTY,2021-11-24,2021-12-30,PE,35600,243.35,243.9,169.2,216.25,243.9,216.25,110,984.32,5.32,2400,1000,37441.95,37593.0,0.09863013698630137
7990,BANKNIFTY,2021-11-24,2021-12-30,PE,35700,269.4,269.4,169.15,234.55,240.4,234.55,221,1984.82,12.39,1975,-125,37441.95,37593.0,0.09863013698630137
7991,BANKNIFTY,2021-11-24,2021-12-30,PE,35800,269.1,303.85,184.95,249.6,259.05,249.6,129,1161.66,7.11,2675,975,37441.95,37593.0,0.09863013698630137
7992,BANKNIFTY,2021-11-24,2021-12-30,PE,35900,329.75,329.8,207.2,271.85,310.0,271.85,107,966.85,6.53,1500,-25,37441.95,37593.0,0.09863013698630137
7993,BANKNIFTY,2021-11-24,2021-12-30,PE,36000,353.65,357.0,216.0,294.85,324.0,294.85,16483,149391.65,1044.65,312950,43500,37441.95,37593.0,0.09863013698630137
7994,BANKNIFTY,2021-11-24,2021-12-30,PE,35100,172.0,172.0,123.8,153.8,153.8,153.8,21,185.05,0.77,725,-175,37441.95,37593.0,0.09863013698630137
7995,BANKNIFTY,2021-11-24,2021-12-30,PE,35200,166.65,221.4,127.0,160.55,171.1,160.55,268,2369.22,10.82,3450,250,37441.95,37593.0,0.09863013698630137
7996,BANKNIFTY,2021-11-24,2021-12-30,PE,35300,211.5,211.5,133.0,182.2,182.2,182.2,78,691.45,3.1,1175,-550,37441.95,37593.0,0.09863013698630137
7997,BANKNIFTY,2021-11-24,2021-12-30,PE,35400,216.1,219.7,145.0,193.0,212.85,193.0,126,1120.44,5.34,1850,125,37441.95,37593.0,0.09863013698630137
7998,BANKNIFTY,2021-11-24,2021-12-30,PE,35500,222.25,257.2,154.65,213.4,235.1,213.4,10108,90179.7,471.2,139225,-33850,37441.95,37593.0,0.09863013698630137
7999,BANKNIFTY,2021-11-24,2021-12-30,PE,34700,132.6,132.6,82.1,85.95,85.95,429.1,7,60.88,0.16,200,75,37441.95,37593.0,0.09863013698630137
8000,BANKNIFTY,2021-11-24,2021-12-30,PE,34800,0.0,0.0,0.0,1196.5,0.0,452.0,0,0.0,0.0,0,0,37441.95,37593.0,0.09863013698630137
8001,BANKNIFTY,2021-11-24,2021-12-30,PE,34900,123.35,135.0,123.35,135.0,135.0,135.0,3,26.27,0.1,300,-25,37441.95,37593.0,0.09863013698630137
8002,BANKNIFTY,2021-11-24,2021-12-30,PE,35000,167.3,187.3,110.0,152.95,165.8,152.95,11010,96708.65,371.15,206125,-19000,37441.95,37593.0,0.09863013698630137
8003,BANKNIFTY,2021-11-24,2021-12-30,PE,34200,0.0,0.0,0.0,1006.65,0.0,327.15,0,0.0,0.0,0,0,37441.95,37593.0,0.09863013698630137
