,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
17,35018,127333,AXISBANK,OPTSTK,2021-11-25,720,CE,1.0,2.45,0.55,1.0,1.0,2908,25176.76,1779600,82800,2021-11-23,686.05,2.0,33.950000000000045,47.8515625,0.08916821757902227,-0.9797671516887848,0.006636543584886569,0.08190053578198496,55.138462767025736
18,35019,127334,AXISBANK,OPTSTK,2021-11-25,730,CE,1.5,1.5,0.6,0.7,0.7,2180,19121.19,1353600,-328800,2021-11-23,686.05,2.0,43.950000000000045,52.734375,0.05807053744962895,-0.7773521051294429,0.004335523009130904,0.05896359671500367,60.944029315808685
19,35020,127335,AXISBANK,OPTSTK,2021-11-25,740,CE,1.2,1.2,0.45,0.55,0.55,1463,13003.68,1861200,-255600,2021-11-23,686.05,2.0,53.950000000000045,59.5703125,0.045070288302458496,-0.7177737486607426,0.003137177826410291,0.04819674220515413,66.68035346477474
20,35021,127336,AXISBANK,OPTSTK,2021-11-25,750,CE,0.75,0.9,0.35,0.4,0.4,1892,17041.17,2767200,-480000,2021-11-23,686.05,2.0,63.950000000000045,64.453125,0.03258136436117819,-0.5961185335269812,0.0022256454904528845,0.03699547747464417,72.2855436201328
21,35022,127337,AXISBANK,OPTSTK,2021-11-25,760,CE,1.1,1.15,0.25,0.35,0.35,846,7720.47,1740000,-260400,2021-11-23,686.05,2.0,73.95000000000005,70.3125,0.026142006467093967,-0.5416112200949132,0.0016991585136478732,0.030811660520955065,77.74131600866491
22,35023,127338,AXISBANK,OPTSTK,2021-11-25,770,CE,0.65,0.65,0.25,0.3,0.3,529,4890.54,878400,-103200,2021-11-23,686.05,2.0,83.95000000000005,74.21875,0.019050663171023895,-0.43777187092987424,0.0012326276457594516,0.02359359978064165,83.04608655882319
23,35024,127339,AXISBANK,OPTSTK,2021-11-25,780,CE,0.45,0.5,0.25,0.3,0.3,847,7931.36,1980000,-224400,2021-11-23,686.05,2.0,93.95000000000005,82.03125,0.018614090816568188,-0.4744027609957978,0.001093452374124092,0.023132782250461763,88.20476314791951
24,35025,127340,AXISBANK,OPTSTK,2021-11-25,790,CE,0.4,0.4,0.1,0.15,0.15,347,3290.5,937200,-76800,2021-11-23,686.05,2.0,103.95000000000005,82.03125,0.010922719722147055,-0.29976571206966796,0.0006909309061683155,0.014617147102825715,93.22460561013744
25,35026,127341,AXISBANK,OPTSTK,2021-11-25,800,CE,0.45,0.45,0.2,0.25,0.25,1259,12090.54,4130400,-585600,2021-11-23,686.05,2.0,113.95000000000005,94.23828125,0.015083652323696697,-0.4552686283696764,0.0007951047251049934,0.01932414820520409,98.11347578895037
26,35027,127342,AXISBANK,OPTSTK,2021-11-25,810,CE,0.35,0.4,0.2,0.25,0.25,296,2878.08,956400,-115200,2021-11-23,686.05,2.0,123.95000000000005,100.5859375,0.014140391515012292,-0.45966853912402594,0.0007046631602596013,0.018279634332543794,102.87909208563296
