,level_0,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,alpha,rho,nu,Beta,sabrsigma
1843,1086,3327,ICICIBANK,2021-11-18,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,-,767.7,0.11506849315068493,0.7485890264776895,1.1315039226339911,-0.3493964969812324,3.7383652045609086,0.8,0.9564180146216521
1998,1241,3887,ICICIBANK,2021-11-29,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,-,720.9,0.08493150684931507,0.7867675387486867,0.894934743888122,-0.24958189508262676,4.654614751983723,0.8,0.9323913391449099
1875,1118,3439,ICICIBANK,2021-11-23,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,-,754.5,0.10136986301369863,0.7763843712060415,0.8267749522415113,-0.21295952576191982,4.611435347745622,0.8,0.9702699022651461
1908,1151,3551,ICICIBANK,2021-11-24,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,760.2,761.8,0.09863013698630137,0.7990308601022056,0.6625816682262932,-0.13960311596260835,5.033445131751346,0.8,0.9824520317081848
1969,1212,3775,ICICIBANK,2021-11-26,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,-,724.25,0.09315068493150686,0.7572678643166602,0.8944436580308364,-0.2503271740342039,4.409035834502544,0.8,0.9043012067558311
2026,1269,3999,ICICIBANK,2021-11-30,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,-,715.85,0.0821917808219178,0.7900478004944669,0.9325711435565919,-0.26740114691315664,4.658555384658068,0.8,0.9371048550738119
1940,1183,3663,ICICIBANK,2021-11-25,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,-,752.6,0.0958904109589041,0.7950820661897641,0.7174428531857554,-0.18785257999543103,4.944584909922759,0.8,0.9763305505273981
757,0,44,ICICIBANK,2021-10-01,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,1.4,0,0.0,0.0,0,0,-,700.6,0.2465753424657534,0.4384613295748947,1.6209920224275227,0.37867406872899984,0.7482176516277613,0.8,0.4382514910594136
1276,519,1536,ICICIBANK,2021-10-26,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,829.4,835.5,0.1780821917808219,0.6835988759790729,2.236460964173297,-2.563771028524733,0.6813611133723536,0.8,0.8753309575726821
1236,479,1424,ICICIBANK,2021-10-25,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,841.7,848.85,0.18082191780821918,0.6929096496054881,2.520345703545044,-1.8301313358363989,0.3091980952995152,0.8,0.827366616466814
