,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
82,HDFCBANK,2021-11-16,2021-12-30,CE,1560,52.8,52.8,42.5,43.3,42.6,43.3,221,1951.34,55.16,203500,40150,-,1556.7,44.0,20.81298828125,0.5027234915866319,-0.5099605073318251,0.0035463424808700773,2.1561788263547412,32.85,-10.449999999999996
83,HDFCBANK,2021-11-16,2021-12-30,PE,1560,44.3,48.0,43.2,45.15,44.8,45.15,86,759.3,21.42,151800,19800,-,1556.7,44.0,20.14923095703125,-0.4981213083379165,-0.4937031343821045,0.003663211078109027,2.1562051632776775,50.65,5.5
84,HDFCBANK,2021-11-17,2021-12-30,CE,1540,47.7,52.8,40.35,40.95,41.0,40.95,768,6693.16,188.2,245300,190850,-,1540.45,43.0,19.313812255859375,0.5149779164273962,-0.4733787916837142,0.003903915716965375,2.1078477695385462,46.2,5.25
85,HDFCBANK,2021-11-17,2021-12-30,PE,1540,39.25,42.8,33.0,38.55,40.5,38.55,524,4544.08,105.8,246400,177100,-,1540.45,43.0,18.3868408203125,-0.4855677199965709,-0.4506815943205672,0.0041009383118307974,2.1079541336296863,35.1,-3.4499999999999957
86,HDFCBANK,2021-11-18,2021-12-30,CE,1540,41.55,48.0,40.75,46.2,47.3,46.2,929,8095.72,227.09,370700,125400,-,1549.2,42.0,19.83642578125,0.5486147510155497,-0.4914046697268148,0.0037985716209235965,2.0809188465832222,30.0,-16.200000000000003
87,HDFCBANK,2021-11-18,2021-12-30,PE,1540,39.65,42.55,33.35,35.1,36.5,35.1,498,4320.17,102.11,306900,60500,-,1549.2,42.0,18.9208984375,-0.4503042906586212,-0.4685663948173162,0.003981030570504224,2.080217136340969,46.6,11.5
88,HDFCBANK,2021-11-23,2021-12-30,CE,1520,43.0,45.95,32.75,39.05,38.9,39.05,1955,16787.84,444.04,454300,255750,-,1522.4,37.0,19.58465576171875,0.5225200560596196,-0.5109575374853969,0.004195833391920838,1.9306368329346157,37.35,-1.6999999999999957
89,HDFCBANK,2021-11-23,2021-12-30,PE,1520,39.9,49.65,30.15,35.45,30.25,35.45,905,7743.18,177.38,369050,210650,-,1522.4,37.0,18.9666748046875,-0.4775434272822662,-0.4948390559375445,0.004332582919033307,1.9306541877508412,32.7,-2.75
91,HDFCBANK,2021-11-24,2021-12-30,PE,1520,33.3,35.45,25.05,32.7,33.85,32.7,1190,10137.74,189.34,431200,62150,1518.05,1523.6,36.0,18.06640625,-0.4720718833985891,-0.4778143573794226,0.004603589426625918,1.9042322670740577,27.7,-5.0000000000000036
90,HDFCBANK,2021-11-24,2021-12-30,CE,1520,40.55,48.5,35.35,37.35,36.5,37.35,1865,16027.58,436.18,485650,31350,1518.05,1523.6,36.0,18.6309814453125,0.5277781205081531,-0.49275903309868757,0.004464204283740593,1.9042824172868158,40.6,3.25
46,HDFCBANK,2021-11-25,2021-12-30,CE,1540,26.8,33.7,25.0,31.1,31.0,31.1,6259,54024.88,1011.15,1632400,535150,-,1531.25,35.0,18.61572265625,0.47208786166932837,-0.5018349576603918,0.004508496817489002,1.8870310696444264,21.3,-9.8
48,HDFCBANK,2021-11-25,2021-12-30,PE,1540,45.0,50.5,33.8,38.45,38.85,38.45,1264,10988.2,282.12,676500,123750,-,1531.25,35.0,17.8680419921875,-0.5300184817608614,-0.4814940266933872,0.004695346330860354,1.886305275265967,68.3,29.849999999999994
