gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1440,20141231,2014,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,59633,34.3685,489.402,16622,,42809,17020,-3489,A,29716.4894
1440,20151231,2015,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,61683.1,36.4354,491.053,17988.2,,43778.2,16453.2,-3036.1,A,28613.6583
1440,20161231,2016,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,63467.7,35.3805,491.712,17620.5,,46047.6,16380.1,-3464.1,A,30958.1875
1440,20171231,2017,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,64729.1,37.1682,492.006,19658.4,,46403.6,15424.9,-4018.2,A,36196.8814
1440,20181231,2018,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,68802.8,38.5779,493.246,21881.7,,49634.6,16195.7,-4534.9,A,36865.206
1440,20191231,2019,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,75892.3,39.7277,494.169,26110.6,,55870.5,15561.4,-6221.3,A,46703.9122
1447,20101231,2010,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,147042,,,52153,,130812,,,A,51375.24
1447,20101231,2010,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,147042,13.5589,1197,52153,4483,130812,30242,,A,51375.24
1447,20111231,2011,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,153337,,,48513,,134543,,,A,54905.88
1447,20111231,2011,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,153337,16.146,1164,48513,4747,134543,32282,,A,54905.88
1447,20121231,2012,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,153140,,,47308,,134254,,,A,63515.4
1447,20121231,2012,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,153140,17.0914,1105,47308,5429,134254,33808,,A,63515.4
1447,20131231,2013,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,153375,,,45481,,133879,,,A,96536.72
1447,20131231,2013,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,153375,18.3233,1064,45481,5978,133879,34932,,A,96536.72
1447,20141231,2014,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,159103,,,45876,,138430,,,A,95179.92
1447,20141231,2014,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,159103,19.4751,1023,45876,6270,138430,35280,,A,95179.92
1447,20151231,2015,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,161184,,,41247,,140511,,,A,67393.95
1447,20151231,2015,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,161184,19.6832,969,41247,6801,140511,34441,,A,67393.95
1447,20161231,2016,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,158893,,,31266,,138392,,,A,
1447,20161231,2016,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,158893,20.9082,904,31266,5145,138392,33823,,A,
